xSource ; ySource ; angle ; xTarget ; yTarget ; sens
0.0;0.0;0.0;0.0;-0.0;true
48.9107;2.34477;-5.0826707;48.91039;2.344951;true
48.9024;2.24852;-4.1548824;48.90217;2.2483168;true
48.8425;2.32842;-3.4846168;48.842484;2.3283677;true
48.9824;1.90663;-0.80193;48.98245;1.9067103;true
48.8385;2.25171;-3.620716;48.838345;2.2512493;true
48.6352;2.74392;-3.858498;48.634792;2.7432163;true
48.8752;2.22699;-0.76885015;48.87531;2.2271833;true
48.9465;2.45466;-5.055557;48.946407;2.4546964;true
48.8487;2.35738;-3.1191638;48.8487;2.3572028;true
48.9287;2.34094;-4.880204;48.92853;2.3409905;true
48.77;2.48034;-0.868286;48.770138;2.4805317;true
48.9407;2.32962;-6.1014576;48.940605;2.33039;true
48.9358;2.15955;-0.6531278;48.93599;2.1599576;true
48.6634;2.36035;-1.6194122;48.664093;2.3603036;true
48.8739;2.32904;-5.4000974;48.87386;2.3290756;true
48.9591;2.29544;-5.7556295;48.959007;2.2956564;true
48.8513;2.37627;-6.233944;48.851295;2.3763478;true
48.8515;2.33124;-3.0204396;48.851498;2.3311822;true
48.8761;2.35782;-1.6654919;48.876144;2.3578095;true
48.8418;2.34843;-3.2813313;48.84176;2.3480856;true
49.0211;2.59925;-4.2013836;49.02082;2.5990238;true
48.8452;2.35609;-3.4449587;48.845146;2.3558547;true
48.8758;2.32405;-2.5320003;48.875828;2.3239691;true
48.9515;2.32233;-0.379412;48.951588;2.3226714;true
48.7944;2.4306;-1.6288633;48.794483;2.4305968;true
48.8249;2.38703;-4.402329;48.82471;2.386948;true
48.789;2.25225;-3.393204;48.788975;2.252092;true
48.8581;2.27474;-0.92759436;48.85814;2.2748094;true
48.9053;2.42746;-2.6809769;48.905403;2.427142;true
48.7996;2.45686;-3.379061;48.79955;2.4565334;true
48.8542;2.49472;-0.67037034;48.854286;2.4948902;true
48.8306;2.35077;-0.5165418;48.83071;2.351102;true
48.8424;2.58419;-2.7115989;48.84252;2.5837889;true
48.5979;2.47447;-1.3482691;48.598164;2.4745827;true
48.8723;2.32483;-4.205764;48.872086;2.3246434;true
48.8485;2.24283;-3.0924082;48.848507;2.2425025;true
48.7984;2.34445;-0.087670945;48.7984;2.3445466;true
48.8375;2.35323;-1.2195103;48.83769;2.3533268;true
48.8651;2.76858;-3.077427;48.8651;2.768462;true
48.8235;2.40484;-3.761986;48.8234;2.4046268;true
48.8735;2.33319;-4.327696;48.87337;2.33312;true
48.8228;2.32547;-2.873383;48.822826;2.3252838;true
48.8775;2.31381;-4.471408;48.87725;2.3137226;true
48.3776;3.01775;-2.3719492;48.377934;3.0172262;true
48.8885;2.3929;-2.358302;48.888805;2.3924422;true
48.8172;2.2767;-1.3896633;48.8174;2.2767642;true
48.602;2.5602;-3.1824865;48.601994;2.5599928;true
48.8975;2.38594;-3.386847;48.89744;2.3856673;true
48.9417;2.42955;-3.3293505;48.94159;2.4287767;true
48.831;2.34571;-2.0718567;48.831173;2.3455405;true
48.8882;2.25119;-5.8818517;48.888096;2.2515695;true
48.8667;2.36496;-2.837673;48.866714;2.364871;true
48.8467;2.32695;-1.4444147;48.846745;2.326952;true
48.8199;2.25552;-2.5082471;48.820107;2.2550747;true
48.8469;2.26183;-1.8203833;48.846924;2.261816;true
