xSource ; ySource ; angle ; xTarget ; yTarget ; xi ; yi ; poids ; sens
0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;true
48.6909;2.32307;-1.1129719;48.691372;2.3234298;52.586376;26.40246;60.900444;true
48.8885;2.3929;-5.2944636;48.88845;2.3929646;5.5130877;4.7229586;70.77142;true
48.6432;2.54368;-4.508021;48.64307;2.5436285;14.418844;3.7828567;63.764374;true
48.8856;2.40001;-2.0689461;48.88564;2.3999753;4.2408366;2.5446198;52.644047;true
48.8857;2.34769;-4.7881303;48.88557;2.347698;14.418844;0.57515264;78.02046;true
48.8946;2.47935;-2.6054287;48.89469;2.4790654;10.178009;20.806364;70.1345;true
48.8947;2.28463;-4.7993813;48.89453;2.2846346;18.659683;0.33108887;78.41299;true
48.8335;2.34168;-5.2724667;48.83336;2.3417995;15.691096;8.740974;77.62945;true
48.8681;2.32189;-5.8494325;48.868057;2.322014;4.664921;9.0662;82.67515;true
48.8427;2.23166;-2.9821525;48.842716;2.2314978;1.6963348;11.861817;81.97655;true
48.8337;2.36194;-3.00141;48.833714;2.3618035;1.6963348;9.979674;68.78332;true
48.7996;2.45686;-5.1274376;48.799534;2.4569042;7.209422;3.2298884;83.56275;true
48.8613;2.28372;-2.403981;48.861362;2.2835898;6.7853394;9.520803;51.269447;true
48.7984;2.34445;-2.510403;48.798454;2.3443441;5.9371715;7.751917;69.376465;true
48.8455;2.33017;-0.40540048;48.845505;2.3302214;0.4240837;3.7676604;85.98204;true
48.8765;2.29221;-5.3337364;48.87647;2.2922354;3.3926697;1.8477998;71.61227;true
48.8448;2.3402;-2.7712395;48.844833;2.339996;3.8167531;14.913866;106.0555;true
48.8519;2.38335;-2.4723656;48.85195;2.3832405;5.9371715;8.005256;83.76361;true
48.852;2.39402;-1.1101686;48.85213;2.3941104;14.418844;6.609991;81.4476;true
48.8509;2.36919;-0.33797282;48.85094;2.3693538;4.664921;11.981961;100.947235;true
48.888;2.32503;-0.6684077;48.888065;2.3251488;7.209422;8.679177;92.045654;true
48.8862;2.28586;-0.5399721;48.88625;2.2860167;5.5130877;11.450651;88.7427;true
48.8865;2.30853;-2.7649972;48.886536;2.308431;3.8167531;7.2502923;88.248764;true
48.8954;2.22438;-4.6509953;48.895325;2.2243857;8.481673;0.41821164;66.99355;true
48.8767;2.40387;-2.934439;48.876743;2.4035141;4.664921;26.025982;84.27535;true
48.8768;2.30293;-5.3417296;48.876743;2.3029704;6.361255;2.9460027;96.54104;true
48.8769;2.28672;-4.9680924;48.876812;2.2867413;9.753924;1.5514421;108.35671;true
48.8517;2.34273;-3.8049154;48.851624;2.3425915;8.481673;10.133056;101.04784;true
48.7919;2.04393;-2.177038;48.792007;2.043808;11.874343;8.940306;79.72871;true
48.9287;2.34094;-3.820237;48.928547;2.3406703;16.963346;19.695093;62.916004;true
48.8624;2.35819;-3.9167871;48.86232;2.3580623;8.905757;9.346225;78.87734;true
48.8737;2.32844;-2.8404367;48.873737;2.3281991;4.2408366;17.607378;62.756527;true
48.8625;2.34965;-5.4312935;48.86247;2.3497033;3.3926697;3.905877;104.45324;true
48.8738;2.32522;-2.1597695;48.873837;2.3251824;4.2408366;2.7544162;131.43527;true
48.9734;2.48871;-1.6683273;48.97372;2.4886546;35.623028;4.0364013;55.921368;true
48.8684;2.28264;-3.2936277;48.86838;2.2825446;2.1204183;6.973958;72.618546;true
48.8682;2.34074;-0.48060137;48.868244;2.3409061;5.0890045;12.15217;98.82324;true
48.8418;2.34843;-0.7577372;48.841858;2.3485405;6.361255;8.094091;76.47761;true
48.842;2.32575;-2.885755;48.84202;2.3256207;2.1204183;9.472142;78.939674;true
48.8689;2.30896;-2.4098709;48.86897;2.3088183;7.6335063;10.356223;46.457787;true
48.7009;2.29523;-0.7256638;48.701153;2.2956734;27.989525;32.53732;63.193592;true
48.7081;2.31107;-0.41053683;48.708202;2.3114643;11.450259;28.929588;59.426376;true
48.883;2.35156;-0.67114383;48.883068;2.351692;7.6335063;9.638684;48.516563;true
48.8931;2.13853;-5.0673275;48.892807;2.1386893;32.654446;11.64076;79.56492;true
48.8932;2.33165;-6.20899;48.893192;2.3318055;0.8481674;11.361917;54.964184;true
48.8932;2.38064;-4.5498633;48.89301;2.3805945;21.204185;3.328414;45.927807;true
48.9011;2.32852;-4.6205053;48.90091;2.3285024;21.204185;1.2893388;65.49393;true
48.8696;2.30681;-4.526722;48.869545;2.3067791;5.9371715;2.2490478;91.07692;true
48.8697;2.35306;-4.6402254;48.869705;2.353074;0.4240837;1.028632;57.21599;true
48.8625;2.33894;-3.776647;48.862442;2.33885;6.361255;6.5737305;73.027275;true
48.8625;2.33653;-1.8323298;48.862522;2.3365076;2.5445023;1.6390735;31.533237;true
48.8742;2.29694;-5.4572525;48.874107;2.297072;10.178009;9.64038;72.86484;true
48.8741;2.35828;-4.4939585;48.874012;2.3582644;9.753924;1.1331393;72.78946;true
48.8624;2.31464;-3.8670123;48.862305;2.314481;10.602093;11.63047;56.112083;true
48.8176;2.3771;-5.9765234;48.817528;2.377443;8.0575905;25.114273;56.42151;true
48.8171;2.35107;-4.1712794;48.816994;2.350984;11.874343;6.2829943;119.30939;true
48.8169;2.36839;-4.614672;48.81683;2.3683932;7.6335063;0.22688684;79.60595;true
48.8168;2.40367;-5.9296613;48.816692;2.404121;11.874343;33.003372;71.32505;true
48.8173;2.46523;-1.2911047;48.81747;2.4653137;19.083767;6.125896;101.122444;true
48.8685;2.36868;-2.6540709;48.8686;2.3683426;11.0261755;24.670328;86.92425;true
48.8685;2.29692;-0.1545692;48.868492;2.2970214;0.8481674;7.409815;81.84129;true
48.8602;2.34645;-5.033499;48.85998;2.3465686;24.17277;8.666563;42.699608;true
49.0363;2.0813;-2.5362449;49.036366;2.0811875;7.209422;8.201622;96.35376;true
48.8603;2.34644;-5.0090256;48.86015;2.3465014;16.539265;4.481493;33.414093;true
48.8604;2.31618;-3.3245745;48.86038;2.3160145;2.5445023;12.101752;99.0484;true
48.8819;2.28434;-5.1399584;48.881798;2.2843988;11.450259;4.305257;68.11496;true
48.8835;2.32902;-3.7094572;48.883392;2.3287551;11.874343;19.364325;77.668465;true
48.8837;2.32687;-3.706959;48.883602;2.3266487;11.0261755;16.174633;48.920662;true
48.8997;2.28355;-1.0388615;48.89983;2.2836573;14.418844;7.8407936;94.51089;true
48.8994;2.08378;-0.725992;48.89945;2.0838335;5.5130877;3.9029965;77.51489;true
48.8992;2.21108;-4.505894;48.899094;2.2110384;11.874343;3.049228;82.3737;true
48.8989;2.30427;-5.9803805;48.898857;2.3044534;4.664921;13.399262;53.968517;true
48.8988;2.3678;-4.3088884;48.898724;2.3677528;8.481673;3.4500115;73.15421;true
48.9345;2.34376;-5.5156946;48.93446;2.3438046;4.664921;3.256016;68.65752;true
48.8693;2.35322;-0.79970956;48.869366;2.3533268;7.209422;7.8106923;95.96859;true
48.8735;2.28537;-4.4584026;48.873436;2.2853425;7.209422;2.0222418;69.52649;true
48.8184;2.33406;-3.7583702;48.81832;2.3338785;8.905757;13.281209;53.91987;true
48.8575;2.35398;-4.339813;48.857468;2.35395;3.3926697;2.1972754;128.69106;true
49.0092;2.56531;-1.7148862;49.009277;2.5652845;8.481673;1.8602788;68.020775;true
48.8348;2.66736;-1.6731007;48.834873;2.667345;8.0575905;1.0991358;67.98443;true
48.7631;2.34006;-3.0615087;48.763115;2.3398278;1.6963348;17.017296;99.78566;true
48.8343;2.3571;-4.0665255;48.834217;2.3570175;9.329842;6.036584;74.42897;true
48.8452;2.37225;-5.4129043;48.845078;2.372404;13.570679;11.268165;36.536484;true
48.8452;2.3779;-4.031555;48.845135;2.3778138;7.209422;6.2969155;104.87257;true
48.845;2.37397;-5.112754;48.84494;2.374005;6.7853394;2.5641277;51.15693;true
48.8452;2.41024;-2.6412535;48.84531;2.4099352;12.298427;22.292128;78.27786;true
48.8454;2.3242;-1.9146873;48.845512;2.3241377;12.298427;4.552599;134.33766;true
48.7342;2.36749;-0.64874965;48.734333;2.3677695;14.842929;20.488445;76.27616;true
48.7322;2.43076;-2.8505313;48.732216;2.430681;1.6963348;5.786642;96.061005;true
48.7328;2.31426;-1.5355797;48.732883;2.314245;9.329842;1.101372;77.39849;true
48.8962;2.40372;-5.9440627;48.896114;2.4040537;9.329842;24.39529;68.78002;true
48.8328;2.28976;-3.523382;48.83277;2.2896905;3.3926697;5.0946097;82.53203;true
48.8839;2.33345;-5.7401605;48.88383;2.3336258;7.6335063;12.845537;65.63596;true
