xSource ; ySource ; angle ; xTarget ; yTarget ; sens
0.0;0.0;0.0;0.0;-0.0;true
48.6893;2.29659;-2.8555813;48.68935;2.296364;true
48.6894;2.59975;-0.20344296;48.689434;2.6001194;true
48.6904;2.33902;-2.593458;48.690445;2.3389006;true
48.6874;2.40955;-2.183442;48.68752;2.4094129;true
48.6875;2.51246;-2.4584537;48.687836;2.5118272;true
48.989;2.32785;-1.2333403;48.989193;2.327963;true
48.6909;2.32307;-1.7289673;48.69095;2.3230424;true
48.6915;2.11419;-0.31217268;48.691658;2.1149607;true
49.0175;2.21018;-2.3894234;49.017586;2.2100608;true
48.8885;2.3929;-5.0350003;48.88819;2.3930655;true
48.8886;2.4943;-3.342138;48.888535;2.4937613;true
48.8884;2.34605;-1.8700669;48.88872;2.3458946;true
48.6577;2.34831;-5.050004;48.657494;2.3484056;true
48.6528;2.31332;-3.4170244;48.652752;2.3130314;true
48.6515;2.40682;-4.302852;48.65136;2.4067333;true
48.652;2.39851;-3.3385038;48.651962;2.3983238;true
48.6378;2.34471;-1.0004472;48.63792;2.344833;true
48.6398;2.31318;-3.4645698;48.63975;2.3129475;true
48.6406;2.36336;-4.930767;48.64035;2.363455;true
48.6425;2.43146;-4.523457;48.641945;2.4313047;true
48.643;1.84358;-1.3763219;48.64341;1.8437145;true
48.6432;2.54368;-5.7915454;48.642895;2.5444882;true
48.6436;2.06127;-5.5078697;48.64318;2.061908;true
48.8687;2.41472;-6.264712;48.8687;2.4147553;true
48.8859;2.39013;-4.69246;48.88558;2.3901331;true
48.8415;2.26878;-4.5524135;48.841278;2.2687256;true
48.8856;2.40001;-4.748368;48.88524;2.4000425;true
48.8855;2.31639;-4.553922;48.885323;2.3163517;true
48.8857;2.34769;-4.2168436;48.885513;2.3475292;true
48.8946;2.47935;-2.722639;48.89467;2.479116;true
48.8948;2.2274;-3.8344326;48.89467;2.2271497;true
48.8823;2.33731;-1.5388608;48.882442;2.3373165;true
48.8766;2.35866;-3.5370622;48.876526;2.35845;true
48.8766;2.63572;-5.1289473;48.876415;2.6358304;true
48.8765;2.38496;-3.8686502;48.876442;2.384875;true
48.9004;2.19295;-5.4450154;48.900074;2.1933765;true
48.8445;2.27983;-4.3685603;48.844383;2.2797642;true
48.8335;2.34168;-4.2711506;48.833305;2.3415465;true
48.8521;2.29814;-5.3761873;48.85203;2.298201;true
48.9281;2.50954;-2.5886054;48.928257;2.509114;true
48.9282;2.27866;-4.8758936;48.928078;2.2786686;true
48.9281;2.41527;-3.218443;48.928062;2.4147384;true
48.9267;2.49228;-3.2211456;48.92667;2.491941;true
48.9274;2.39171;-1.8409656;48.927643;2.3915994;true
48.8633;2.4378;-2.9074228;48.86333;2.4376075;true
48.8636;2.28722;-0.63131696;48.863712;2.2874491;true
48.875;2.34022;-5.0603313;48.874626;2.3404343;true
48.8521;2.33953;-3.4449492;48.852047;2.3392713;true
48.9679;2.24344;-3.3428285;48.967857;2.2432272;true
48.9683;2.30579;-1.9125124;48.968662;2.3055995;true
48.9684;2.31928;-2.1013415;48.96865;2.3190312;true
48.9685;1.74299;-5.5710287;48.96839;1.7431538;true
48.7734;2.0832;-2.3891866;48.773514;2.0830245;true
48.7732;2.46879;-1.1209142;48.773457;2.4689877;true
48.7725;2.0589;-0.7094693;48.772694;2.059245;true
48.7714;2.2217;-2.4052098;48.771774;2.221066;true
48.772;2.33449;-2.659094;48.772068;2.3342662;true
48.8547;2.35612;-1.4729244;48.854736;2.3561242;true
48.8436;2.63403;-5.619264;48.843395;2.634415;true
48.8681;2.32189;-3.9529061;48.868015;2.3217614;true
48.8678;2.36378;-4.4538455;48.867756;2.3637755;true
48.8427;2.23166;-3.802665;48.842445;2.2311606;true
48.8431;2.25391;-0.27009797;48.843155;2.254249;true
48.8431;2.06656;-5.0292253;48.8427;2.0667615;true
48.8341;2.3137;-4.638873;48.83404;2.313689;true
49.0042;2.56759;-2.6892917;49.00426;2.5673406;true
48.7613;2.35317;-2.7525384;48.761368;2.3529222;true
48.8477;2.20105;-4.4112263;48.84751;2.2009602;true
48.7615;2.13693;-1.0980617;48.762012;2.137341;true
48.8246;2.34944;-1.2566572;48.82467;2.3494842;true
48.8477;2.25385;-5.756161;48.84758;2.254131;true
48.8337;2.36194;-0.23088166;48.83374;2.362225;true
48.7996;2.45686;-5.201249;48.79948;2.4569714;true
48.7992;2.07189;-0.5989082;48.79939;2.0723398;true
48.7987;2.31487;-4.329834;48.7984;2.3147001;true
48.7986;1.59809;-0.4057486;48.798973;1.5994498;true
48.7992;1.70332;-0.40126523;48.799328;1.7038025;true
48.7984;2.34445;-4.4624357;48.798145;2.3443441;true
48.7983;2.32326;-5.1043725;48.797977;2.3234637;true
48.8449;2.3846;-4.194278;48.84467;2.3844032;true
48.8449;2.32892;-2.5014217;48.845024;2.328688;true
48.7865;2.4633;-1.641286;48.78672;2.4632745;true
48.8448;2.39867;-1.8717792;48.84504;2.3985596;true
48.8448;2.3402;-2.1745217;48.844887;2.3400805;true
48.8763;2.3482;-2.1090267;48.876377;2.348136;true
48.715;2.25451;-3.3644404;48.714977;2.2543502;true
48.7149;2.43242;-5.358699;48.7148;2.432535;true
48.8519;2.38335;-3.0690012;48.85191;2.383072;true
48.7143;2.23093;-1.2027313;48.714554;2.2310765;true
48.7141;1.88569;-5.0823264;48.71393;1.885779;true
48.7136;2.28014;-5.855058;48.71356;2.2802866;true
48.7134;2.3707;-4.5269294;48.71301;2.370601;true
48.8521;2.42523;-2.6107416;48.852222;2.4249175;true
48.8521;2.40188;-0.8786776;48.852303;2.4021492;true
48.8507;2.3235;-0.114969864;48.850708;2.3237836;true
48.8509;2.36919;-5.733952;48.85079;2.3694549;true
48.8761;2.33153;-2.008045;48.87625;2.331418;true
48.8511;2.33743;-2.1273956;48.851128;2.337401;true
48.8347;2.30621;-5.6165695;48.834614;2.3063579;true
